"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61"
"11","2","12","9.3","0","NaN","12","9.3","0","NaN","0","NaN","0","NaN","6","18.2","6","6.2","0","NaN","0","0","3","10.3","4","10","4","13.3","1","5.3","0","NaN","6","19.4","4","6.2","1","5","1","7.1","1","2.6","0","0","0","0","3","20","2","9.1","6","15.4","1","2.1","2","16.7","4","25","5","9.4","0","NaN"
"12","3","0","0","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"13","4","0","0","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"14","5 ó más","0","0","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"15","Total","129","100","0","NaN","129","100","0","NaN","0","NaN","0","NaN","33","100","96","100","0","NaN","11","100","29","100","40","100","30","100","19","100","0","NaN","31","100","64","100","20","100","14","100","38","100","6","100","9","100","15","100","22","100","39","100","48","100","12","100","16","100","53","100","0","NaN"
"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17","P15MarcaMotos","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"18","1.Italika","50","38.8","0","NaN","50","38.8","0","NaN","0","NaN","0","NaN","16","48.5","34","35.4","0","NaN","1.34164078649987","12.2","12","41.4","17","42.5","11","36.7","2.21108319357027","11.6","0","NaN","12","38.7","21","32.8","2.29415733870562","11.5","1.92153784566105","13.7","3.08439840382424","8.1","0","0","1.5","16.7","8","53.3","6","27.3","16","41","3.45179570905076","7.2","5","41.7","5","31.2","20","37.7","0","NaN"
"19","2.Yamaha","27","20.9","0","NaN","27","20.9","0","NaN","0","NaN","0","NaN","9","27.3","18","18.8","0","NaN","1.54919333848297","14.1","5","17.2","8","20","10","33.3","1","5.3","0","NaN","9","29","13","20.3","1.37649440322337","6.9","1.59325501363138","11.4","2.54685815986805","6.7","1.26491106406735","21.1","1","11.1","6","40","5","22.7","5","12.8","2.31553495496388","4.8","4","33.3","2","12.5","15","28.3","0","NaN"
"20","3.Honda","25","19.4","0","NaN","25","19.4","0","NaN","0","NaN","0","NaN","5","15.2","20","20.8","0","NaN","1.54919333848297","14.1","8","27.6","8","20","4","13.3","1","5.3","0","NaN","9","29","12","18.8","1.63835604381825","8.2","1","7.1","2.11174322763433","5.6","1.26491106406735","21.1","1","11.1","3","20","5","22.7","9","23.1","2.13880061836216","4.5","3","25","6","37.5","11","20.8","0","NaN"
"21","4.Suzuki","20","15.5","0","NaN","20","15.5","0","NaN","0","NaN","0","NaN","5","15.2","15","15.6","0","NaN","1","9.1","4","13.8","6","15","5","16.7","1.82574185835055","9.6","0","NaN","4","12.9","12","18.8","1.37649440322337","6.9","1.35873244097351","9.7","2.11174322763433","5.6","1","16.7","1.5","16.7","0","0","5","22.7","6","15.4","2.4711096654587","5.1","1","8.3","3","18.8","9","17","0","NaN"
"22","5.Bajaj","8","6.2","0","NaN","8","6.2","0","NaN","0","NaN","0","NaN","2","6.1","6","6.2","0","NaN","1.34164078649987","12.2","2","6.9","2","5","0","0","1.37436854187255","7.2","0","NaN","2","6.5","4","6.2","1","5","0","0","0","0","0","0","0","0","0","0","2","9.1","6","15.4","1.6947980485981","3.5","1","8.3","1","6.2","2","3.8","0","NaN"
"23","6.Kawasaki","6","4.7","0","NaN","6","4.7","0","NaN","0","NaN","0","NaN","2","6.1","4","4.2","0","NaN","0","0","1","3.4","1","2.5","2","6.7","1.37436854187255","7.2","0","NaN","1","3.2","4","6.2","0","0","1","7.1","1","2.6","1","16.7","1","11.1","1","6.7","0","0","2","5.1","1.6947980485981","3.5","0","0","2","12.5","1","1.9","0","NaN"
"24","7.Harley Davidson","0","0","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"25","8.Pulsar","1","0.8","0","NaN","1","0.8","0","NaN","0","NaN","0","NaN","0","0","1","1","0","NaN","0","0","0","0","0","0","0","0","1","5.3","0","NaN","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","1","2.6","1","2.1","0","0","0","0","0","0","0","NaN"
"26","98.Otra (Especificar)","4","3.1","0","NaN","4","3.1","0","NaN","0","NaN","0","NaN","0","0","4","4.2","0","NaN","0","0","0","0","2","5","2","6.7","0","0","0","NaN","0","0","2","3.1","1","5","1","7.1","1.68458832889161","4.4","0","0","0","0","0","0","1","4.5","0","0","1.6947980485981","3.5","0","0","1","6.2","0","0","0","NaN"
"27","Total","129","100","0","NaN","129","100","0","NaN","0","NaN","0","NaN","33","100","96","100","0","NaN","11","100","29","100","40","100","30","100","19","100","0","NaN","31","100","64","100","20","100","14","100","38","100","6","100","9","100","15","100","22","100","39","100","48","100","12","100","16","100","53","100","0","NaN"
"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29","P15CategoriaMotos","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"30","Trabajo","67","51.9","0","NaN","67","51.9","0","NaN","0","NaN","0","NaN","15","45.5","52","54.2","0","NaN","1.34164078649987","12.2","19","65.5","22","55","15","50","2.21108319357027","11.6","0","NaN","16","51.6","33","51.6","2.28265773075805","11.4","1.92153784566105","13.7","3.05357566212536","8","1.26491106406735","21.1","1.58113883008419","17.6","10","66.7","12","54.5","22","56.4","3.49771962186672","7.3","5","41.7","10","62.5","26","49.1","0","NaN"
"31","Chopper","7","5.4","0","NaN","7","5.4","0","NaN","0","NaN","0","NaN","1","3","6","6.2","0","NaN","1.34164078649987","12.2","1","3.4","1","2.5","0","0","1.63299316185545","8.6","0","NaN","1","3.2","4","6.2","1.37649440322337","6.9","0","0","0","0","0","0","0","0","1","6.7","3","13.6","3","7.7","2.13880061836217","4.5","0","0","0","0","2","3.8","0","NaN"
"32","Cuatrimoto","2","1.6","0","NaN","2","1.6","0","NaN","0","NaN","0","NaN","0","0","2","2.1","0","NaN","0","0","0","0","1","2.5","1","3.3","0","0","0","NaN","1","3.2","1","1.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5.1","0","0","0","0","1","6.2","1","1.9","0","NaN"
"33","Deportiva","25","19.4","0","NaN","25","19.4","0","NaN","0","NaN","0","NaN","4","12.1","21","21.9","0","NaN","1.73205080756888","15.7","2","6.9","10","25","6","20","1.37436854187255","7.2","0","NaN","10","32.3","14","21.9","1","5","0","0","2.277979189806","6","1.26491106406735","21.1","1.5","16.7","1","6.7","6","27.3","5","12.8","2.31553495496388","4.8","5","41.7","2","12.5","12","22.6","0","NaN"
"34","Motoneta /  Scooter","29","22.5","0","NaN","29","22.5","0","NaN","0","NaN","0","NaN","17","51.5","12","12.5","0","NaN","1","9.1","8","27.6","7","17.5","9","30","1.82574185835055","9.6","0","NaN","8","25.8","12","18.8","1.98679853559757","9.9","1.59325501363138","11.4","2.9637448918191","7.8","0","0","1","11.1","5","33.3","3","13.6","7","17.9","2.73277973982225","5.7","3","25","4","25","13","24.5","0","NaN"
"35","Doble propósito","11","8.5","0","NaN","11","8.5","0","NaN","0","NaN","0","NaN","2","6.1","9","9.4","0","NaN","1","9.1","2","6.9","3","7.5","3","10","1.37436854187255","7.2","0","NaN","1","3.2","4","6.2","1.63835604381825","8.2","1.59325501363138","11.4","1.91720517307764","5","0","0","0","0","1","6.7","0","0","6","15.4","1.6947980485981","3.5","1","8.3","3","18.8","4","7.5","0","NaN"
"36","Infantiles","0","0","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"37","Otra (especificar)","0","0","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"38","Total","129","100","0","NaN","129","100","0","NaN","0","NaN","0","NaN","33","100","96","100","0","NaN","11","100","29","100","40","100","30","100","19","100","0","NaN","31","100","64","100","20","100","14","100","38","100","6","100","9","100","15","100","22","100","39","100","48","100","12","100","16","100","53","100","0","NaN"
"39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40","P15AntMotos","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"41","0 a 11 meses","28","21.7","0","NaN","28","21.7","0","NaN","0","NaN","0","NaN","5","15.2","23","24","0","NaN","1.34164078649987","12.2","7","24.1","13","32.5","5","16.7","1","5.3","0","NaN","11","35.5","9","14.1","1.98679853559757","9.9","1.35873244097351","9.7","2.54685815986805","6.7","1.26491106406735","21.1","1.3228756555323","14.7","3","20","5","22.7","8","20.5","2.73277973982225","5.7","1","8.3","4","25","13","24.5","0","NaN"
"42","1 a 3 años","83","64.3","0","NaN","83","64.3","0","NaN","0","NaN","0","NaN","25","75.8","58","60.4","0","NaN","1.54919333848297","14.1","18","62.1","22","55","21","70","1.97202659436654","10.4","0","NaN","24","77.4","45","70.3","2.28265773075805","11.4","1.75411603861406","12.5","2.9637448918191","7.8","1.26491106406735","21.1","1.5","16.7","10","66.7","14","63.6","23","59","3.48858320324418","7.3","11","91.7","9","56.2","37","69.8","0","NaN"
"43","4 a 6 años","23","17.8","0","NaN","23","17.8","0","NaN","0","NaN","0","NaN","6","18.2","17","17.7","0","NaN","1","9.1","7","24.1","5","12.5","7","23.3","1.63299316185545","8.6","0","NaN","1","3.2","11","17.2","2.10262993215139","10.5","1.86052101883813","13.3","2.11174322763433","5.6","0","0","1","11.1","4","26.7","3","13.6","10","25.6","2.9427154922087","6.1","2","16.7","3","18.8","7","13.2","0","NaN"
"44","7 a 9 años","5","3.9","0","NaN","5","3.9","0","NaN","0","NaN","0","NaN","2","6.1","3","3.1","0","NaN","0","0","0","0","3","7.5","1","3.3","0","0","0","NaN","1","3.2","2","3.1","0","0","1.35873244097351","9.7","0","0","0","0","0","0","0","0","2","9.1","3","7.7","1","2.1","0","0","3","18.8","1","1.9","0","NaN"
"45","10 a 12 años","2","1.6","0","NaN","2","1.6","0","NaN","0","NaN","0","NaN","1","3","1","1","0","NaN","0","0","0","0","1","2.5","0","0","1","5.3","0","NaN","0","0","1","1.6","0","0","1","7.1","0","0","0","0","0","0","1","6.7","0","0","1","2.6","1","2.1","0","0","1","6.2","0","0","0","NaN"
"46","13 a 15 años","0","0","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"47","16 a 18 años","0","0","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"48","19 a 21 años","0","0","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"49","22 a 24 años","0","0","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"50","25 a 27 años","0","0","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"51","28 a 30 años","0","0","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"52","Más de 30 años","0","0","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"53","No sabe","0","0","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"54","Total","129","100","0","NaN","129","100","0","NaN","0","NaN","0","NaN","33","100","96","100","0","NaN","11","100","29","100","40","100","30","100","19","100","0","NaN","31","100","64","100","20","100","14","100","38","100","6","100","9","100","15","100","22","100","39","100","48","100","12","100","16","100","53","100","0","NaN"
"55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"56","P15UsoMotos","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"57","Rr_P15_2_1_r1_Yo","0","0","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"58","Rr_P15_2_1_r2_Mi_Esposo___Esposa","0","0","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
